Dominant_Topic,Topic_Perc_Contrib,Keywords,AcceptedAnswerId,AnswerCount,Body,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,OwnerUserId,PostTypeId,Score,Tags,Title,ViewCount
2,0.2986,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",0,1,"<p>Can anyone please tell me if UCBT can be used for RSSI measurement and if yes how?</p>
",0,0,2011-01-19T13:20:22.970,0,4735701,581485,1,0,<bluetooth><ns2>,UCBT Bluetooth Simulator,673
2,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",0,0,"<p>I have to install ns 2.29 network simulator on windows, for which i first installed cygwin. while i was installing ns2 it can not detect xorg-x11-base neither XFree86-base, for which i again installed the X11 package and even installed xcygwin, all the components were installed, but still ns2 can't recognize it. I tried to install ns2 regardless of this than after almost 80 % of installation an error occurred.
""./sctp/sctp.h:705:error: extra qualification 'SctpAgent::' on member 'DumpSendBuffer' "".</p>
",0,0,2011-01-25T17:39:01.453,1,4796920,582734,1,1,<networking><cygwin><simulator><ns2>,Problem during the insatallation of NS 2.29 on windows,297
3,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",0,2,"<p>I m doing in my project in scheduling algorithms in NS2. To implement scheduling algorithm, whether i have to write code in TCL or C++?</p>
",1,0,2011-01-27T09:20:40.417,1,4814532,591911,1,1,<scheduling><ns2>,Scheduling in NS2,884
1,0.3229,"file, set, parameter, number, module, trace, generate, script, random, position",0,0,"<p>I am using trace graph and I want to compare two different trace files with each other. The trace graph only works with one trace file. Is there any way by which I can compare two different trace files?<br>
Is there any other trace analyzer(apart from trace graph) that can be used to compare two different trace files at the same time?<br>
-Thanks in advance</p>
",0,0,2011-02-04T09:34:29.180,1,4896458,451951,1,1,<graph><trace><ns2>,Comparing 2 trace files using trace graph,921
7,0.2083,"implement, find, add, function, route, code, class, type, program, call",0,1,"<p>i am working in ns2 DSR protocol. i wnt to learn how to get neighbor node in DSR protocol and how to get Routing table in DSR.  please help me</p>

<p>advance thanks</p>
",0,0,2011-02-07T08:31:31.697,0,4919277,606113,1,0,<ns2>,GEt DSR neighbor node,1344
2,0.2639,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",0,1,"<p>I'm working as a student-intern in a govt organization to complete my major-project at college.
My task is to simulate a dynamic-routing protocol for ad-hoc networks. As I've good programming experience in C++ thus I've chosen OMNET++ network simulator. 
It was easy to adapt to the working environment and I could play around with the samples provide in OMNET IDE. </p>

<p>Problem Statement:
Now, I need to start working on my task i.e. [ <a href=""http://www.mediafire.com/?s5ajo8gavhcf6sr"" rel=""nofollow"">http://www.mediafire.com/?s5ajo8gavhcf6sr</a> ] pls have a look at the paper.
Could someone please give me a few general instructions on building an adhoc network model in omnet and then apply a routing protocol to it.</p>

<p>I would really appreciate if you could just read the abstract of that paper and provide me deeper insights if possible.</p>
",1,0,2011-02-16T10:11:10.460,0,5015075,261227,1,1,<networking><simulation><omnet++>,What network simulation model should I use for simulating the behavior of an ad-hoc network in OMNET++,545
0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",5627500,1,"<p>While simulating network for SAT-COMM, I want to show the output on the xgraph. I am not able to do so. The error I'm getting is ""<code>Error in file `outsat.tr' at line 1085:
Unknown line type</code>"". Please guide.</p>

<p>Below given is the code</p>

<pre><code>#
# $Header: /cvsroot/nsnam/ns-2/tcl/ex/sat-mixed.tcl,v 1.4 2001/11/06 06:20:10 tomh Exp $
#
# Example script that mixes geo satellites with some polar satellites:
# One plane of Iridium-like satellites, one geo satellite, and two terminals 
# pinging one another on it
# In the script, since this is not a full constellation, the LEO satellites
# eventually move out of range of the terminals and packets get dropped
# 

global ns
set ns [new Simulator]

###########################################################################
# Global configuration parameters                                         #
###########################################################################

HandoffManager/Term set elevation_mask_ 8.2
HandoffManager/Term set term_handoff_int_ 10
HandoffManager set handoff_randomization_ false

global opt
set opt(chan)           Channel/Sat
set opt(bw_down)    1.5Mb; # Downlink bandwidth (satellite to ground)
set opt(bw_up)      1.5Mb; # Uplink bandwidth
set opt(bw_isl)     25Mb
set opt(phy)            Phy/Sat
set opt(mac)            Mac/Sat
set opt(ifq)            Queue/DropTail
set opt(qlim)       50
set opt(ll)             LL/Sat
set opt(wiredRouting)   OFF

set opt(alt)        780; # Polar satellite altitude (Iridium)
set opt(inc)        90; # Orbit inclination w.r.t. equator

# IMPORTANT This tracing enabling (trace-all) must precede link and node 
#           creation.  Then following all node, link, and error model
#           creation, invoke ""$ns trace-all-satlinks $outfile"" 
set outfile [open outsat.tr w]
$ns trace-all $outfile

###########################################################################
# Set up satellite and terrestrial nodes                                  #
###########################################################################

# Let's first create a single orbital plane of Iridium-like satellites
# 11 satellites in a plane

# Set up the node configuration

$ns node-config -satNodeType polar \
        -llType $opt(ll) \
        -ifqType $opt(ifq) \
        -ifqLen $opt(qlim) \
        -macType $opt(mac) \
        -phyType $opt(phy) \
        -channelType $opt(chan) \
        -downlinkBW $opt(bw_down) \
        -wiredRouting $opt(wiredRouting)

# Create nodes n0 through n10
set n0 [$ns node]; set n1 [$ns node]; set n2 [$ns node]; set n3 [$ns node] 
set n4 [$ns node]; set n5 [$ns node]; set n6 [$ns node]; set n7 [$ns node] 
set n8 [$ns node]; set n9 [$ns node]; set n10 [$ns node]

# Now provide position information for each of these nodes
# Position arguments are: altitude, incl., longitude, ""alpha"", and plane
# See documentation for definition of these fields
set plane 1
$n0 set-position $opt(alt) $opt(inc) 0 0 $plane 
$n1 set-position $opt(alt) $opt(inc) 0 32.73 $plane
$n2 set-position $opt(alt) $opt(inc) 0 65.45 $plane
$n3 set-position $opt(alt) $opt(inc) 0 98.18 $plane
$n4 set-position $opt(alt) $opt(inc) 0 130.91 $plane
$n5 set-position $opt(alt) $opt(inc) 0 163.64 $plane
$n6 set-position $opt(alt) $opt(inc) 0 196.36 $plane
$n7 set-position $opt(alt) $opt(inc) 0 229.09 $plane
$n8 set-position $opt(alt) $opt(inc) 0 261.82 $plane
$n9 set-position $opt(alt) $opt(inc) 0 294.55 $plane
$n10 set-position $opt(alt) $opt(inc) 0 327.27 $plane

# This next step is specific to polar satellites
# By setting the next_ variable on polar sats; handoffs can be optimized  
# This step must follow all polar node creation
$n0 set_next $n10; $n1 set_next $n0; $n2 set_next $n1; $n3 set_next $n2
$n4 set_next $n3; $n5 set_next $n4; $n6 set_next $n5; $n7 set_next $n6
$n8 set_next $n7; $n9 set_next $n8; $n10 set_next $n9

# GEO satellite:  above North America-- lets put it at 100 deg. W
$ns node-config -satNodeType geo
set n11 [$ns node]
$n11 set-position -100

# Terminals:  Let's put two within the US, two around the prime meridian
$ns node-config -satNodeType terminal 
set n100 [$ns node]; set n101 [$ns node]
$n100 set-position 37.9 -122.3; # Berkeley
$n101 set-position 42.3 -71.1; # Boston
set n200 [$ns node]; set n201 [$ns node]
$n200 set-position 0 10 
$n201 set-position 0 -10

###########################################################################
# Set up links                                                            #
###########################################################################

# Add any necessary ISLs or GSLs
# GSLs to the geo satellite:
$n100 add-gsl geo $opt(ll) $opt(ifq) $opt(qlim) $opt(mac) $opt(bw_up) \
  $opt(phy) [$n11 set downlink_] [$n11 set uplink_]
$n101 add-gsl geo $opt(ll) $opt(ifq) $opt(qlim) $opt(mac) $opt(bw_up) \
  $opt(phy) [$n11 set downlink_] [$n11 set uplink_]
# Attach n200 and n201 initially to a satellite on other side of the earth
# (handoff will automatically occur to fix this at the start of simulation)
$n200 add-gsl polar $opt(ll) $opt(ifq) $opt(qlim) $opt(mac) $opt(bw_up) \
  $opt(phy) [$n5 set downlink_] [$n5 set uplink_]
$n201 add-gsl polar $opt(ll) $opt(ifq) $opt(qlim) $opt(mac) $opt(bw_up) \
  $opt(phy) [$n5 set downlink_] [$n5 set uplink_]

# ISLs for the polar satellites
$ns add-isl intraplane $n0 $n1 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n1 $n2 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n2 $n3 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n3 $n4 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n4 $n5 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n5 $n6 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n6 $n7 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n7 $n8 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n8 $n9 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n9 $n10 $opt(bw_isl) $opt(ifq) $opt(qlim)
$ns add-isl intraplane $n10 $n0 $opt(bw_isl) $opt(ifq) $opt(qlim)

###########################################################################
# Tracing                                                                 #
###########################################################################
$ns trace-all-satlinks $outfile

###########################################################################
# Attach agents                                                           #
###########################################################################

set udp0 [new Agent/UDP]
$ns attach-agent $n100 $udp0
set cbr0 [new Application/Traffic/CBR]
$cbr0 attach-agent $udp0
$cbr0 set interval_ 60.01

set udp1 [new Agent/UDP]
$ns attach-agent $n200 $udp1
$udp1 set class_ 1
set cbr1 [new Application/Traffic/CBR]
$cbr1 attach-agent $udp1
$cbr1 set interval_ 90.5

set null0 [new Agent/Null]
$ns attach-agent $n101 $null0
set null1 [new Agent/Null]
$ns attach-agent $n201 $null1

$ns connect $udp0 $null0
$ns connect $udp1 $null1

###########################################################################
# Satellite routing                                                       #
###########################################################################

set satrouteobject_ [new SatRouteObject]
$satrouteobject_ compute_routes

$ns at 1.0 ""$cbr0 start""
$ns at 305.0 ""$cbr1 start""

$ns at 9000.0 ""finish""

proc finish {} {
    global ns outfile 
    $ns flush-trace
    close $outfile
    exec xgraph outsat.tr -geometry 800x400 &amp;
    exit 0
}

$ns run
</code></pre>
",6,0,2011-02-28T07:07:00.947,0,5139095,420341,1,1,<tcl><ns2>,how to draw xgraph in satcom in ns2 simulation,7868
1,0.3208,"file, set, parameter, number, module, trace, generate, script, random, position",0,1,"<p>pl help how to convert a cc file to a object file.what is the command need for that and in which environment it will work</p>
",0,0,2011-03-02T11:29:02.667,0,5166837,641080,1,0,<ns2>,conversion of .cc file to object file,1374
6,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",0,2,"<p>I have a line in my tcl code like this:</p>

<pre><code>Application/BitTorrent set seqNo_ $opt(seqNo)
</code></pre>

<p>..I have an OTcl class name ""Application/BitTorrent"", I get this ERROR... </p>

<pre>
invalid command name ""Application/BitTorrent""
    while executing
""Application/BitTorrent set seqNo_ $opt(seqNo)""
</pre>

<p>can anybody tell me where the error might be?</p>

<p>thanks!</p>
",1,0,2011-03-07T17:11:10.743,1,5222733,648536,1,0,<tcl><ns2>,Tcl: Invalid command name error,5383
2,0.4063,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",0,1,"<p>How can I simulate a packet be dropped from a malicious node in a wireless network using ns2?</p>
",3,0,2011-03-10T15:37:10.307,1,5261983,653823,1,1,<ns2>,Simulating packet dropping in a wireless network,3234
5,0.3229,"omnet, inet, make, project, build, link, error, library, fail, command",5588633,3,"<p>I m trying to modify some C++ files in ns2 and then recompile using make command. Although new .o file is created after make, the output is similar to that of previous C++ file (before modifying). can someone suggest what may be the reason behind it.</p>
",2,0,2011-04-07T19:36:42.117,0,5586595,697451,1,3,<c++><linux><ubuntu-10.10><ns2>,Problem recompiling using make command in ubuntu,1873
0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",6130995,1,"<p>Lets say that I have a function <code>todo()</code> and I want to implement this function on a packet sent from a node to a destination among all the routers.</p>

<p>So I want that the packet goes through TCP via ethernet(could be anything) and while going I want to process the packet by calling <code>todo()</code> on it.</p>

<p>I am trying to simulate this on omnet and thus wanted advice on it...</p>

<p>Do i need to implement the entire TCP stack first or is there an inbuilt feature for simulation in it and if there is does it allow me to do the thing I mentioned ??</p>

<p>I am a beginner in using omnet so please provide me with guidelines on how to do this.... Thanks a lot ...</p>
",0,0,2011-04-12T11:16:00.363,0,5634279,0,1,0,<c++><omnet++>,TCP packet simulation + omnet,1462
6,0.2311,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",5653576,1,"<p>I'm wondering what the best way is to have a pointer (via memory address) to an object in a C++ library which makes liberal use of smart pointers (ns-3). At the moment, I use path-based lookup and I'm concerned about its efficiency, since it seems to do full tree traversal for each call. If I maintain a standard pointer to the object for use across the JNI boundary, then the object may be disposed of while Java still holds a reference to it. Is the best idea to use a pointer to a smart pointer instead?</p>

<p>Cheers,<br>
Chris</p>
",0,0,2011-04-13T16:00:40.657,0,5652152,87197,1,2,<java><c++><java-native-interface><smart-pointers><ns-3>,Smart pointer and external code interaction via JNI,787
