Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
124,4.0,0.4509,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Eclipse IDE crashes after certain number of runs but runs fine with VALGRIND profiler
125,1.0,0.2542,"file, set, parameter, number, module, trace, generate, script, random, position",NS2 : How to know the number of channel slots?
126,6.0,0.4525,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Global variable is not recognized inside a procedure in TCL script for ns-2
127,5.0,0.2412,"omnet, inet, make, project, build, link, error, library, fail, command",Kill the previous command in a pipeline
128,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",Using trace file in NS-3
129,3.0,0.1875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How do I implement a BFS in ns2 for a wired scenario?
130,7.0,0.3523,"implement, find, add, function, route, code, class, type, program, call",GDB and NS2: how to stop program at some Function call
131,2.0,0.1788,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to print the route of a packet in hwmp ns3
132,1.0,0.3229,"file, set, parameter, number, module, trace, generate, script, random, position",How to execute Sql query from ns2 backend files?
133,2.0,0.2875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",ns2 projects in wireless networks
134,0.0,0.2412,"packet, message, send, node, receive, application, multiple, datum, specific, server",Bad file size in video.dat in ns-2
135,7.0,0.2066,"implement, find, add, function, route, code, class, type, program, call",Finding Goodput in ns2
136,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",NS2 installation
137,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Directional Antenna in NS-2.34 or NS-2.35
138,5.0,0.3523,"omnet, inet, make, project, build, link, error, library, fail, command",How to change the Link Status (up/down) at runtime in NS2?
139,4.0,0.2764,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",choosing energy instead of hp count in aodv
140,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",ns2 error running aomdv simulation code
141,2.0,0.2097,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",how to put list elements in array tcl in for loop using counter
142,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",How to model node as a router in NS2
143,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",ns3 poisson traffic model
144,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",ns-3 on Linux: error when cloning ns-3 branch
145,2.0,0.2614,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Gnuplot set title dynamically
146,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",how to implement multiple queues in Ns-2
147,2.0,0.3523,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",NS2 Simulation for Wireless Sensor Networks
148,0.0,0.3322,"packet, message, send, node, receive, application, multiple, datum, specific, server",Received throughput issue with saturated traffic
149,6.0,0.2205,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",MAODV : has no member named
150,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",segmentation fault in ns2
151,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",How do I implement multicast dynamic join/prune using ns3
152,1.0,0.4063,"file, set, parameter, number, module, trace, generate, script, random, position",Pass string into ns3::Ipv4AddressHelper::SetBase method
153,7.0,0.2083,"implement, find, add, function, route, code, class, type, program, call",Compilation error while adding mp-olsr on ns 2.34 (Jiazi YI ns 2.29)
154,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",omnet++ installation error in ubuntu
155,7.0,0.2205,"implement, find, add, function, route, code, class, type, program, call",ns-3 source code
156,4.0,0.1784,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to set/ get the time spent on packets fragmentation in ns-3 models?
157,1.0,0.3641,"file, set, parameter, number, module, trace, generate, script, random, position","FlowMonitor dont show statistics, but PyViz and trace files shows it"
158,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",NS-3 trace file packet ID
159,6.0,0.3071,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","invalid command name ""Module/MMac/ALOHA"" error ns-2 NS-MIRACLE"
160,4.0,0.3319,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Abort execution during OMNET simulation
161,6.0,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Variable sized packet
162,3.0,0.2303,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Ns-3 Distributed Coordination Function and Collision Avoidance
163,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Does NS-3 supports Mobile IPv6?
164,0.0,0.2344,"packet, message, send, node, receive, application, multiple, datum, specific, server",What is the meaning of l1 and l2 in EnergyModel() in ns2
165,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Tcl global variable does not seem to change in ns2
166,6.0,0.3875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Tcl cant read variable: no such variable
167,6.0,0.3921,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Why is the following tcl script for NS2 gives error for procedure implementation?
168,0.0,0.3542,"packet, message, send, node, receive, application, multiple, datum, specific, server",ns2 to attach more than one applications to one agent
169,4.0,0.4896,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","Undefined reference to `Process::process_data_buffer(int, AppData*, int, int)"
170,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to connect dynamic module to static module in OMNet++
171,6.0,0.3692,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","""cant read:variable is array"" error in ns2"
172,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",Omnet++ 4.3 build issue on Mac OS X Lion
173,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",Implement Simple TCP with NS3
174,1.0,0.3624,"file, set, parameter, number, module, trace, generate, script, random, position","Enabling trace files in wifi, NS3"
175,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",dsrc vanet ns2 tcl scipt not working
176,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",tcl error in set nf[open out.nam w]
177,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",Waf configuration in ns-3
178,5.0,0.3523,"omnet, inet, make, project, build, link, error, library, fail, command",ns2 validate overall report: some tests failed
179,6.0,0.3875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns2 installation error on Ubuntu 12.10
180,6.0,0.2948,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns2 installation and compilation
181,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",omnet simulation of token bucket
182,7.0,0.3875,"implement, find, add, function, route, code, class, type, program, call",NS-3 Socket to connect to external program
183,1.0,0.3523,"file, set, parameter, number, module, trace, generate, script, random, position",how to generate graph from trace file in ns2?
184,2.0,0.3523,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","Ubuntu, remove network TAP interface"
185,0.0,0.2396,"packet, message, send, node, receive, application, multiple, datum, specific, server",Type casting from message to packet in Omnetpp
186,7.0,0.2577,"implement, find, add, function, route, code, class, type, program, call",what if notify() is called before wait()?
187,5.0,0.2981,"omnet, inet, make, project, build, link, error, library, fail, command",Sending NS-3 packets through user-defined socket to another terminal
188,3.0,0.3875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Sumo and NS-2 integration using TraCI
189,1.0,0.4711,"file, set, parameter, number, module, trace, generate, script, random, position",how to write a batch file to execute TCL files
190,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",Maximum allowed size of HELLO in AODV
191,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",NS2 Vs Opnet Vs GloMoSim
192,4.0,0.2986,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",#includes in OMNeT++ Unit Tests
193,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",How to set the TCP parameters in NS2 for packet generation
194,0.0,0.2396,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to set TCP Packet Rate in Simulation
195,2.0,0.2764,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",NS2: simulating nodes running two different mac protocol
196,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Undefined Reference to JNI_CreateJavaVM Eclipse and Linux
197,2.0,0.397,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Connecting tap bridges to virtual machines
198,7.0,0.3071,"implement, find, add, function, route, code, class, type, program, call",how to implement OSPF using Ns-2
199,2.0,0.3523,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Bridge between simulated network and real host
200,7.0,0.2653,"implement, find, add, function, route, code, class, type, program, call",How to find neighbor list in ns2
201,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to handle ethernet frames in ns3
202,4.0,0.1875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to run algorithms in ns2 nodes?
203,0.0,0.3194,"packet, message, send, node, receive, application, multiple, datum, specific, server",Broadcasting Message with 802.11 & 802.11p
204,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",how do i set the destination only flag for the AODv protocol in the ns2 environment
205,0.0,0.2344,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to drop packet in mobile adhoc simulation in ns3
206,0.0,0.1705,"packet, message, send, node, receive, application, multiple, datum, specific, server",monitoring packets in promiscuous mode using ns2
207,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",Set color of node in ns2 with TCL script
208,1.0,0.1986,"file, set, parameter, number, module, trace, generate, script, random, position",whats the meaning of interface index at this specific ns3 code
209,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",declaring Nodes in Ns3
210,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",NS2 installation on windows
211,4.0,0.3321,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",tcl proc command not working while running file from shell
212,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",Cannot build ns3 after upgrading to MAC OX 10.9
213,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",JNS(Java Network Simulator) for implementing ns2
214,1.0,0.2205,"file, set, parameter, number, module, trace, generate, script, random, position","exec ""`dirname ""$0""`""/../../waf "
215,6.0,0.3875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns2 installation Permission denied
216,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",How to pass array of integers from Tcl to C++?
217,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",OMNET makefile.in configuration
218,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",Inet framework: Send message from one host to another
219,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Java Network Simulation
220,2.0,0.2614,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How we create sink(5) variable in tcl script
221,3.0,0.3764,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",cant save changes to Makefile on Fedora 19
222,5.0,0.4062,"omnet, inet, make, project, build, link, error, library, fail, command",Error: /usr/bin/ld: final link failed: File truncated
223,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",Creating bandwidth of link in ns2
224,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Analyzing Energy in NS-2
225,6.0,0.3672,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","NS-2 (Network Simulator) error getting TCP window: ""error when calling class $cls: $args"" $..."""
226,0.0,0.3194,"packet, message, send, node, receive, application, multiple, datum, specific, server",OMNET send messages
227,0.0,0.2109,"packet, message, send, node, receive, application, multiple, datum, specific, server",ndnSIM: hijacker doesnt work and empty PIT
228,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Matplotlib for SUMO
229,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",bashrc issue in cygwin
230,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",R script if (nrow(layer_data) == 0) return() argument is of length zero
231,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Plotting with Xgraph in tcl
232,7.0,0.3044,"implement, find, add, function, route, code, class, type, program, call",Routing table and splitting traffic in Omnet++
233,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",Passing the repeatTime from ns2 to .cc file
234,1.0,0.2396,"file, set, parameter, number, module, trace, generate, script, random, position",Unused variable warning when optimization is set
235,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",ns3 packet failed
236,1.0,0.4519,"file, set, parameter, number, module, trace, generate, script, random, position",Segmentation fault while using bash script to generate mobility file
237,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",NS2 NAM not displaying transmissions
238,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",Prevent indirect communication
239,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to implement DSR protocol in ns2 simulator in ubuntu
240,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",NS2 nam does not show anythings
241,6.0,0.3422,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Adding vector to NS2; Compiler error
